active cool,940233074162,COMPU  ARMADA,Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,465.8 GB,8.0 GB
ProBook 440 G5,5CD812DW71,LAPTOP,Intel(R) Core(TM) i3-6006U CPU @ 2.00GHz,931.5 GB,8.0 GB
active cool,940233074167,COMPU  DE MARCA,Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,465.8 GB,8.0 GB
PANASONIC  CF-193H1G1FW,4DKYA72157,LAPTOP CONSULT,Intel(R) Core(TM) i5-3320M CPU @ 2.60GHz,465.8 GB,4.0GB
PANASONIC  CF-193H1G1FW,,LAPTOP CONSULT,Intel(R) Core(TM) i5-3320M CPU @ 2.60GHz,465.8 GB,4.0GB
HP 280 G3 SFF,8CG93040V9,COMPU  ARMADA,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,1tb,8.0 GB
HP Compaq Elite 8300,MXL31417WZ,COMPU  DE MARCA,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,465.8 GB,8.0 GB
active cool,940233114306,COMPU  ARMADA,Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz ,465.8 GB,8.0 GB
active cool,940233127804,COMPU  ARMADA,Intel(R) Core(TM) i5-3340 CPU @ 3.10GHz,465.8 GB,8.0 GB
active cool,940233074022,COMPU  ARMADA,Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,465.8 GB,8.0 GB
active cool,9402127804,COMPU  ARMADA,Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz ,465.8 GB,8.0 GB
